userId,group,sub,age,Anguilla,Aruba,Bahamas,Barbados,Bonaire,Cuba,Haiti,Jamaica,Martinique,Montserrat,St Kitts & Nevis,St Lucia,Trinidad,Dominica,Grenada,Bangladesh,China,Hong Kong,India,Japan,Maldives,Nepal,Philippines,Saudi Arabia,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
83657,best,user57,23,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no
83659,best,user59,21,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no
83660,best,user60,23,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
83661,best,user61,19,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no
83664,best,user64,20,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
83670,best,user70,20,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes
83678,best,user73,21,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes
83663,best,user63,20,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no
83666,best,user66,20,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no
83668,best,user68,23,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no
83680,best,user75,21,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
83700,best,user76,19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no
83708,best,user77,20,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no
83698,best,user80,25,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no
83662,best,user58,20,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no
83723,best,user78,21,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes
